"m1","m2","m3","x1","x2","x3","y1","y2","y3","tEnd","x1[tEnd]","x2[tEnd]","x3[tEnd]","y1[tEnd]","y2[tEnd]","y3[tEnd]"
5,12,13,-1.9982923129856922,1.5783086536950022,1.7433568107063087,-1.3971897889049454,4.9317566469157885,4.657476844125506,7.5,-3.407820388526418,-0.9082467886541458,0.8435501900292646,8.898214351438982,-0.530256648471883,6.34504568856147
5,12,13,-1.0607568303037693,1.324496385257906,0.2834821324603358,-1.5960400326046442,4.599979792619861,4.182117430274003,0.001,-1.0607569400110095,0.28348210308887767,4.599979653765436,1.3244970544201748,-1.596039676013257,4.1821172960012545
5,12,13,-1.0607568303037693,1.324496385257906,0.2834821324603358,-1.5960400326046442,4.599979792619861,4.182117430274003,0.003,-1.0607577271335134,0.2834818923575552,4.599978657503928,1.3245018555429007,-1.5960371175290597,4.182116332614268
5,12,13,-1.0607568303037693,1.324496385257906,0.2834821324603358,-1.5960400326046442,4.599979792619861,4.182117430274003,0.005,-1.0607593013704397,0.28348147089843695,4.59997666497884,1.324511457777964,-1.5960320005636766,4.182114405839609
5,12,13,-1.0607568303037693,1.324496385257906,0.2834821324603358,-1.5960400326046442,4.599979792619861,4.182117430274003,0.01,-1.0607666805582319,0.283479495329682,4.599967325005233,1.3245564681933726,-1.596008014806252,4.1821053740793435
5,12,13,-1.0607568303037693,1.324496385257906,0.2834821324603358,-1.5960400326046442,4.599979792619861,4.182117430274003,1,-1.1472820451643178,0.26239176752618426,4.472184756996666,1.9094692154710584,-1.2804113771805332,4.060652127951046
5,12,13,-1.0607568303037693,1.324496385257906,0.2834821324603358,-1.5960400326046442,4.599979792619861,4.182117430274003,5,-0.668967546644569,0.9641916807886471,0.7404916776380291,10.561308290944861,0.7548088765862225,5.598275739477344
5,12,13,-1.0607568303037693,1.324496385257906,0.2834821324603358,-1.5960400326046442,4.599979792619861,4.182117430274003,7.5,0.523989514838247,-1.3536649059752635,0.10447073286548011,14.756283656216674,0.3811142749522411,10.032041063939392
5,12,13,-2.6669189089979546,1.8983497205774584,0.3833603530367835,-1.4537788139251195,4.511034547318266,4.887098586541004,0.001,-2.6669190410693715,0.38336032594570735,4.5110344179272674,1.8983500698068057,-1.4537785626531232,4.8870984457791415
5,12,13,-2.6669189089979546,1.8983497205774584,0.3833603530367835,-1.4537788139251195,4.511034547318266,4.887098586541004,0.003,-2.6669198197273807,0.38336016622536107,4.511033655067657,1.898352128775538,-1.4537770812138593,4.887097615880247
5,12,13,-2.6669189089979546,1.8983497205774584,0.3833603530367835,-1.4537788139251195,4.511034547318266,4.887098586541004,0.005,-2.6669213770352833,0.38335984679015234,4.511032129344146,1.8983562467053343,-1.4537741183341686,4.887095956079687
5,12,13,-2.6669189089979546,1.8983497205774584,0.3833603530367835,-1.4537788139251195,4.511034547318266,4.887098586541004,0.01,-2.666928676900863,0.3833583494478914,4.511024977507146,1.8983755494868793,-1.4537602298334402,4.887088175759368
5,12,13,-2.6669189089979546,1.8983497205774584,0.3833603530367835,-1.4537788139251195,4.511034547318266,4.887098586541004,1,-2.761954853258385,0.36498540789413797,4.41441846340757,2.153534821240848,-1.2682241584296878,4.782546900455108
5,12,13,-2.6669189089979546,1.8983497205774584,0.3833603530367835,-1.4537788139251195,4.511034547318266,4.887098586541004,5,-4.147373814843667,1.1873188904149647,0.989915965923746,7.031254387962556,1.022634949682039,4.1803327617607575
5,12,13,-2.6669189089979546,1.8983497205774584,0.3833603530367835,-1.4537788139251195,4.511034547318266,4.887098586541004,7.5,-4.1184262401074,-1.3660281139995136,0.16379769766285968,10.634134458101839,-0.20258250644224343,7.256124820669273
5,12,13,-1.942818472785996,1.9314687459166466,1.8009803122038015,-0.28868677251808883,4.671546765192071,3.900863097563553,0.001,-1.9428186488868917,1.800980348193417,4.671546539117717,1.9314689952393596,-0.2886864302807114,3.9008628402910137
5,12,13,-1.942818472785996,1.9314687459166466,1.8009803122038015,-0.28868677251808883,4.671546765192071,3.900863097563553,0.003,-1.9428197817481163,1.800980579721734,4.671545084767489,1.931470599138211,-0.28868422864955307,3.9008611852415473
5,12,13,-1.942818472785996,1.9314687459166466,1.8009803122038015,-0.28868677251808883,4.671546765192071,3.900863097563553,0.005,-1.9428220474665663,1.8009810427874635,4.671542176058636,1.9314738069301691,-0.28867982537916953,3.900857875134005
5,12,13,-1.942818472785996,1.9314687459166466,1.8009803122038015,-0.28868677251808883,4.671546765192071,3.900863097563553,0.01,-1.9428326680203434,1.8009832134113857,4.671528541482823,1.9314888434528779,-0.2886591850463057,3.9008423590017616
5,12,13,-1.942818472785996,1.9314687459166466,1.8009803122038015,-0.28868677251808883,4.671546765192071,3.900863097563553,1,-2.081768139327861,1.8364428449116734,4.483725814837046,2.1281099637614074,-0.00759897364710036,3.6877941436535755
5,12,13,-1.942818472785996,1.9314687459166466,1.8009803122038015,-0.28868677251808883,4.671546765192071,3.900863097563553,5,-3.859796786506737,0.08447923137226934,2.568260896830233,5.353037792545312,0.18895680210377871,4.4480467085287945
5,12,13,-1.942818472785996,1.9314687459166466,1.8009803122038015,-0.28868677251808883,4.671546765192071,3.900863097563553,7.5,-4.256714583647631,-0.8018032152074565,-0.5172371777410606,8.673264309201684,2.39980569337397,3.8049311551093234
5,12,13,-2.5194987800322517,1.8307249280207778,0.25369833827048627,-1.4271625808079378,4.51242786938972,3.398100236802061,0.001,-2.5194988967297873,0.25369835807514246,4.5124276846342815,1.830725286040966,-1.4271622941583884,3.3981000828007306
5,12,13,-2.5194987800322517,1.8307249280207778,0.25369833827048627,-1.4271625808079378,4.51242786938972,3.398100236802061,0.003,-2.5194996186429255,0.25369848059445577,4.51242654169439,1.8307275008267339,-1.4271605208815707,3.398099130113654
5,12,13,-2.5194987800322517,1.8307249280207778,0.25369833827048627,-1.4271625808079378,4.51242786938972,3.398100236802061,0.005,-2.5195010624628287,0.253698725640607,4.512424255808048,1.8307319303892624,-1.4271569743256638,3.398097224735745
5,12,13,-2.5194987800322517,1.8307249280207778,0.25369833827048627,-1.4271625808079378,4.51242786938972,3.398100236802061,0.01,-2.519507830363116,0.2536998743009471,4.512413540710148,1.8307526939558272,-1.427140349842886,3.3980882932735508
5,12,13,-2.5194987800322517,1.8307249280207778,0.25369833827048627,-1.4271625808079378,4.51242786938972,3.398100236802061,1,-2.6073832364020877,0.2719359359333505,4.366996251109109,2.1041983731514966,-1.2045527571550552,3.277540038719891
5,12,13,-2.5194987800322517,1.8307249280207778,0.25369833827048627,-1.4271625808079378,4.51242786938972,3.398100236802061,5,-3.7165193191836607,-0.09165388041232793,1.6993370829096006,6.7839564956165574,-0.3003498330469964,4.334860164653901
5,12,13,-2.5194987800322517,1.8307249280207778,0.25369833827048627,-1.4271625808079378,4.51242786938972,3.398100236802061,7.5,-3.045262856351767,-2.5727554417924474,0.5861276641619946,10.13548889133486,0.23032602618793085,6.128237343032358
5,12,13,-2.2247698587414115,1.0880746158492387,0.25984606902707874,-1.3023103389780872,3.0386889546146927,3.0508215396812197,0.001,-2.224770052785581,0.2598460458111598,3.0386887326876404,1.088075095350364,-1.3023099398093292,3.0508212927237324
5,12,13,-2.2247698587414115,1.0880746158492387,0.25984606902707874,-1.3023103389780872,3.0386889546146927,3.0508215396812197,0.003,-2.224771418689092,0.2598458823970848,3.038687170497789,1.088078470635876,-1.3023071299861946,3.050819554341561
5,12,13,-2.2247698587414115,1.0880746158492387,0.25984606902707874,-1.3023103389780872,3.0386889546146927,3.0508215396812197,0.005,-2.224774150488366,0.25984555557590033,3.038684046111845,1.0880852211992627,-1.302301510336082,3.050816077572325
5,12,13,-2.2247698587414115,1.0880746158492387,0.25984606902707874,-1.3023103389780872,3.0386889546146927,3.0508215396812197,0.01,-2.2247869557768762,0.25984402362010445,3.038669400536148,1.0881168644448487,-1.3022751682159674,3.0507997802035347
5,12,13,-2.2247698587414115,1.0880746158492387,0.25984606902707874,-1.3023103389780872,3.0386889546146927,3.0508215396812197,1,-2.3870969704868497,0.2476804227593898,2.835905751093995,1.5014468505980898,-0.9461135724003166,2.8275909861717117
5,12,13,-2.2247698587414115,1.0880746158492387,0.25984606902707874,-1.3023103389780872,3.0386889546146927,3.0508215396812197,5,-2.887243789357608,-1.7989400645611135,-0.16160046701657482,7.165722348779606,-0.43073950749390194,4.806684017653129
5,12,13,-2.2247698587414115,1.0880746158492387,0.25984606902707874,-1.3023103389780872,3.0386889546146927,3.0508215396812197,7.5,-0.4655416269687717,-4.048860574147501,-2.9135733764037544,6.832511507408256,2.0777855736000945,7.022262237386489
5,12,13,-1.8864010897883339,1.3312516847823213,0.8935259266034734,-0.5191166191065855,3.620811322950603,4.133858103436513,0.001,-1.8864014274790128,0.8935258426617811,3.620811137490575,1.33125211272593,-0.5191162576663049,4.133857866677306
5,12,13,-1.8864010897883339,1.3312516847823213,0.8935259266034734,-0.5191166191065855,3.620811322950603,4.133858103436513,0.003,-1.8864037968215503,0.8935252537055246,3.62080983623585,1.3312551153144956,-0.5191137216774367,4.133856205491029
5,12,13,-1.8864010897883339,1.3312516847823213,0.8935259266034734,-0.5191166191065855,3.620811322950603,4.133858103436513,0.005,-1.886408535497138,0.8935240758000653,3.620807233721948,1.3312611204830858,-0.5191086496980833,4.133852883114872
5,12,13,-1.8864010897883339,1.3312516847823213,0.8935259266034734,-0.5191166191065855,3.620811322950603,4.133858103436513,0.01,-1.8864307480101372,0.8935185543896511,3.620795034424513,1.3312892696849097,-0.5190848747899514,4.133837309465679
5,12,13,-1.8864010897883339,1.3312516847823213,0.8935259266034734,-0.5191166191065855,3.620811322950603,4.133858103436513,1,-2.172061951790513,0.8282534662920449,3.452690356582048,1.6969489138236198,-0.1997608933341372,3.9217569346172914
5,12,13,-1.8864010897883339,1.3312516847823213,0.8935259266034734,-0.5191166191065855,3.620811322950603,4.133858103436513,5,-5.445071457239463,-0.8910715389666192,0.4096617835793963,6.9277643571231975,0.05495842192567293,5.203586431767574
5,12,13,-1.8864010897883339,1.3312516847823213,0.8935259266034734,-0.5191166191065855,3.620811322950603,4.133858103436513,7.5,-6.087435435304968,-3.463081040422964,-1.793395850922631,10.74792322283072,1.7729168504133173,5.367929770251715
5,12,13,-2.188839947640017,1.415667407992945,1.3718417156472085,-1.8715278349167277,4.236596006016739,4.132256305570893,0.001,-2.188840035663166,1.3718416952912789,4.23659586221879,1.4156677145087848,-1.871527556342754,4.132256111889805
5,12,13,-2.188839947640017,1.415667407992945,1.3718417156472085,-1.8715278349167277,4.236596006016739,4.132256305570893,0.003,-2.1888405533033413,1.3718415755849915,4.2365950165757855,1.4156695170522753,-1.871525918114594,4.132254972896118
